,r
0,-0.3125
1,0.0
2,0.3125
3,0.625
4,0.9375
5,1.25
6,1.5625
7,1.875
8,2.1875
9,2.5
10,2.8125
11,3.125
12,3.4375
13,3.75
14,4.0625
15,4.375
16,4.6875
17,5.0
18,5.3125
19,5.625
20,5.9375
21,6.25
22,6.5625
23,6.875
24,7.1875
25,7.5
26,7.8125
27,8.125
28,8.4375
29,8.75
30,9.0625
31,9.375
32,9.6875
33,10.0
34,10.3125
35,10.625
36,10.9375
37,11.25
38,11.5625
39,11.875
40,12.1875
41,12.5
42,12.8125
43,13.125
44,13.4375
45,13.75
46,14.0625
47,14.375
48,14.6875
49,15.0
50,15.3125
51,15.625
52,15.9375
53,16.25
54,16.5625
55,16.875
56,17.1875
57,17.5
58,17.8125
59,18.125
60,18.4375
61,18.75
62,19.0625
63,19.375
64,19.6875
65,20.0
66,20.3125
67,20.625
68,20.9375
69,21.25
70,21.5625
71,21.875
72,22.1875
73,22.5
74,22.8125
75,23.125
76,23.4375
77,23.75
78,24.0625
79,24.375
80,24.6875
81,25.0
82,25.3125
83,25.625
84,25.9375
85,26.25
86,26.5625
87,26.875
88,27.1875
89,27.5
90,27.8125
91,28.125
92,28.4375
93,28.75
94,29.0625
95,29.375
96,29.6875
97,30.0
98,30.3125
99,30.625
100,30.9375
101,31.25
102,31.5625
103,31.875
104,32.1875
105,32.5
106,32.8125
107,33.125
108,33.4375
109,33.75
110,34.0625
111,34.375
112,34.6875
113,35.0
114,35.3125
115,35.625
116,35.9375
117,36.25
118,36.5625
119,36.875
120,37.1875
121,37.5
122,37.8125
123,38.125
124,38.4375
125,38.75
126,39.0625
127,39.375
128,39.6875
129,40.0
130,40.3125
131,40.625
132,40.9375
133,41.25
134,41.5625
135,41.875
136,42.1875
137,42.5
138,42.8125
139,43.125
140,43.4375
141,43.75
142,44.0625
143,44.375
144,44.6875
145,45.0
146,45.3125
147,45.625
148,45.9375
149,46.25
150,46.5625
151,46.875
152,47.1875
153,47.5
154,47.8125
155,48.125
156,48.4375
157,48.75
158,49.0625
159,49.375
160,49.6875
161,50.0
162,50.3125
163,50.625
164,50.9375
165,51.25
166,51.5625
167,51.875
168,52.1875
169,52.5
170,52.8125
171,53.125
172,53.4375
173,53.75
174,54.0625
175,54.375
176,54.6875
177,55.0
178,55.3125
179,55.625
180,55.9375
181,56.25
182,56.5625
183,56.875
184,57.1875
185,57.5
186,57.8125
187,58.125
188,58.4375
189,58.75
190,59.0625
191,59.375
192,59.6875
193,60.0
194,60.3125
195,60.625
196,60.9375
