,type_ off  vs. type_ off ,type_ off  vs. type_ on ,type_ on  vs. type_ off ,type_ on  vs. type_ on 
0,9.655586326075557e-08,2.0008507585370836,2.0046431100118705,5.739591708801181e-07
1,1.1463902919686553e-07,2.000739888029378,2.004753868660402,6.734510298712282e-07
2,1.3578596300370513e-07,2.000624149808069,2.004869477323295,7.884497944170723e-07
3,1.611424241013852e-07,2.000501063333528,2.00499241001645,9.24653090019467e-07
4,1.9078976802284367e-07,2.0003726190034405,2.0051206762671137,1.082047158707079e-06
5,2.2630758778674215e-07,2.000236163675965,2.0052569204076534,1.268286865845419e-06
6,2.6782678355670056e-07,2.000093826855695,2.005399012729717,1.4834402802463086e-06
7,3.1752200698579576e-07,1.9999427786442463,2.005549771255475,1.737774591192093e-06
8,3.755988843514558e-07,1.9997852929382929,2.0057069216762446,2.0314956389384176e-06
9,4.450463696707839e-07,1.9996183602950153,2.0058734574516124,2.3783492266359043e-06
10,5.261817642619538e-07,1.9994444038760752,2.006046954682211,2.7787619015324976e-06
11,6.231062103509164e-07,1.9992602335659013,2.0062305820124577,3.2511000701259014e-06
12,7.363018651686545e-07,1.9990684261461318,2.0064217614286095,3.7961315391532343e-06
13,8.713853934778507e-07,1.9988656116698462,2.0066238340900013,4.438344138869924e-06
14,1.029079940182323e-06,1.9986545242567808,2.006834063908624,5.179019063943217e-06
15,1.2170622794469704e-06,1.998431617262014,2.007055959014422,6.0507306450405395e-06
16,1.4364047650449403e-06,1.9981997850929007,2.0072866219538534,7.055515718926266e-06
17,1.6975769432531495e-06,1.9979553101513037,2.0075297189141508,8.236597639327189e-06
18,2.0021527731532026e-06,1.99770124916617,2.007782188566153,9.597105133699523e-06
19,2.364376977657711e-06,1.9974337222439913,2.0080478423491748,1.1194237568853126e-05
20,2.786537815470737e-06,1.9971559493876374,2.0083234534496412,1.3032675764304565e-05
21,3.2879670580802782e-06,1.9968639002404962,2.0086129613218575,1.5187894112460855e-05
22,3.871961847950735e-06,1.9965609577618104,2.008912973091372,1.766674675167898e-05
23,4.564685439567359e-06,1.996242956332534,2.009227534017028,2.0568509052566285e-05
24,5.370848002232844e-06,1.995913440064946,2.0095530857635575,2.3903035532755027e-05
25,6.325753043811012e-06,1.995568126738576,2.0098937516889435,2.7800465053533726e-05
26,7.4360732984962675e-06,1.995210718081356,2.0102458099349128,3.227473771119168e-05
27,8.749292732097428e-06,1.9948368373434462,2.0106134282832104,3.749582586844912e-05
28,1.0274786663017393e-05,1.9944503383110475,2.0109927248108956,4.348315750083794e-05
29,1.207620085636356e-05,1.9940467749527389,2.011387871681322,5.045785343479046e-05
30,1.4166599696920249e-05,1.9936301452071414,2.0117948320952026,5.844661202496767e-05
31,1.6630973702013788e-05,1.9931959617167272,2.0122177359054696,6.773586931834435e-05
32,1.948737716221799e-05,1.9927483559460397,2.0126523985959626,7.83618191162173e-05
33,2.284884929488477e-05,1.9922828291275938,2.013102854236976,9.069380581877044e-05
34,2.674013023462648e-05,1.9918036324913082,2.013564780002035,0.00010478024072828692
35,3.131091924983982e-05,1.991306286670655,2.014042053986357,0.00012109503105379779
36,3.6594826413954077e-05,1.9907951453219679,2.0145302270183016,0.0001397020597364059
37,4.278919044659482e-05,1.9902657787736397,2.0150329545900125,0.00016120619223277852
38,4.993926744885337e-05,1.9897226217365964,2.0155456760509334,0.00018569056952179216
39,5.83039229548578e-05,1.9891613222472344,2.0160717517607534,0.00021392284997889702
40,6.794353808865394e-05,1.9885863702359796,2.0166065277195444,0.00024600969602017823
41,7.919592147483975e-05,1.9879935150863746,2.0171529915183006,0.0002829195108895754
