,r
0,-0.3662109375
1,0.0
2,0.3662109375
3,0.732421875
4,1.0986328125
5,1.46484375
6,1.8310546875
7,2.197265625
8,2.5634765625
9,2.9296875
10,3.2958984375
11,3.662109375
12,4.0283203125
13,4.39453125
14,4.7607421875
15,5.126953125
16,5.4931640625
17,5.859375
18,6.2255859375
19,6.591796875
20,6.9580078125
21,7.32421875
22,7.6904296875
23,8.056640625
24,8.4228515625
25,8.7890625
26,9.1552734375
27,9.521484375
28,9.8876953125
29,10.25390625
30,10.6201171875
31,10.986328125
32,11.3525390625
33,11.71875
34,12.0849609375
35,12.451171875
36,12.8173828125
37,13.18359375
38,13.5498046875
39,13.916015625
40,14.2822265625
41,14.6484375
42,15.0146484375
43,15.380859375
44,15.7470703125
45,16.11328125
46,16.4794921875
47,16.845703125
48,17.2119140625
49,17.578125
50,17.9443359375
51,18.310546875
52,18.6767578125
53,19.04296875
54,19.4091796875
55,19.775390625
56,20.1416015625
57,20.5078125
58,20.8740234375
59,21.240234375
60,21.6064453125
61,21.97265625
62,22.3388671875
63,22.705078125
64,23.0712890625
65,23.4375
66,23.8037109375
67,24.169921875
68,24.5361328125
69,24.90234375
70,25.2685546875
71,25.634765625
72,26.0009765625
73,26.3671875
74,26.7333984375
75,27.099609375
76,27.4658203125
77,27.83203125
78,28.1982421875
79,28.564453125
80,28.9306640625
81,29.296875
82,29.6630859375
83,30.029296875
84,30.3955078125
85,30.76171875
86,31.1279296875
87,31.494140625
88,31.8603515625
89,32.2265625
90,32.5927734375
91,32.958984375
92,33.3251953125
93,33.69140625
94,34.0576171875
95,34.423828125
96,34.7900390625
97,35.15625
98,35.5224609375
99,35.888671875
100,36.2548828125
101,36.62109375
102,36.9873046875
103,37.353515625
104,37.7197265625
105,38.0859375
106,38.4521484375
107,38.818359375
108,39.1845703125
109,39.55078125
110,39.9169921875
111,40.283203125
112,40.6494140625
113,41.015625
114,41.3818359375
115,41.748046875
116,42.1142578125
117,42.48046875
118,42.8466796875
119,43.212890625
120,43.5791015625
121,43.9453125
122,44.3115234375
123,44.677734375
124,45.0439453125
125,45.41015625
126,45.7763671875
127,46.142578125
128,46.5087890625
129,46.875
130,47.2412109375
131,47.607421875
132,47.9736328125
133,48.33984375
134,48.7060546875
135,49.072265625
136,49.4384765625
137,49.8046875
138,50.1708984375
139,50.537109375
140,50.9033203125
141,51.26953125
142,51.6357421875
143,52.001953125
144,52.3681640625
145,52.734375
146,53.1005859375
147,53.466796875
148,53.8330078125
149,54.19921875
150,54.5654296875
151,54.931640625
152,55.2978515625
153,55.6640625
154,56.0302734375
155,56.396484375
156,56.7626953125
157,57.12890625
158,57.4951171875
159,57.861328125
160,58.2275390625
161,58.59375
162,58.9599609375
163,59.326171875
164,59.6923828125
165,60.05859375
166,60.4248046875
167,60.791015625
168,61.1572265625
169,61.5234375
170,61.8896484375
171,62.255859375
172,62.6220703125
173,62.98828125
174,63.3544921875
175,63.720703125
176,64.0869140625
177,64.453125
178,64.8193359375
179,65.185546875
180,65.5517578125
181,65.91796875
182,66.2841796875
183,66.650390625
184,67.0166015625
185,67.3828125
186,67.7490234375
187,68.115234375
188,68.4814453125
189,68.84765625
190,69.2138671875
191,69.580078125
192,69.9462890625
193,70.3125
194,70.6787109375
195,71.044921875
196,71.4111328125
197,71.77734375
198,72.1435546875
199,72.509765625
200,72.8759765625
201,73.2421875
202,73.6083984375
203,73.974609375
204,74.3408203125
205,74.70703125
206,75.0732421875
207,75.439453125
208,75.8056640625
209,76.171875
210,76.5380859375
211,76.904296875
212,77.2705078125
213,77.63671875
214,78.0029296875
215,78.369140625
216,78.7353515625
217,79.1015625
218,79.4677734375
219,79.833984375
220,80.2001953125
221,80.56640625
222,80.9326171875
223,81.298828125
224,81.6650390625
225,82.03125
226,82.3974609375
227,82.763671875
228,83.1298828125
229,83.49609375
230,83.8623046875
231,84.228515625
232,84.5947265625
233,84.9609375
234,85.3271484375
235,85.693359375
236,86.0595703125
237,86.42578125
238,86.7919921875
239,87.158203125
240,87.5244140625
241,87.890625
242,88.2568359375
243,88.623046875
244,88.9892578125
245,89.35546875
246,89.7216796875
247,90.087890625
248,90.4541015625
249,90.8203125
250,91.1865234375
251,91.552734375
252,91.9189453125
253,92.28515625
254,92.6513671875
255,93.017578125
256,93.3837890625
257,93.75
258,94.1162109375
259,94.482421875
260,94.8486328125
261,95.21484375
262,95.5810546875
263,95.947265625
264,96.3134765625
265,96.6796875
266,97.0458984375
267,97.412109375
268,97.7783203125
269,98.14453125
270,98.5107421875
271,98.876953125
272,99.2431640625
273,99.609375
274,99.9755859375
275,100.341796875
276,100.7080078125
277,101.07421875
278,101.4404296875
279,101.806640625
280,102.1728515625
281,102.5390625
282,102.9052734375
283,103.271484375
284,103.6376953125
285,104.00390625
286,104.3701171875
287,104.736328125
288,105.1025390625
289,105.46875
290,105.8349609375
291,106.201171875
292,106.5673828125
293,106.93359375
294,107.2998046875
295,107.666015625
296,108.0322265625
297,108.3984375
298,108.7646484375
299,109.130859375
300,109.4970703125
301,109.86328125
302,110.2294921875
303,110.595703125
304,110.9619140625
305,111.328125
306,111.6943359375
307,112.060546875
308,112.4267578125
309,112.79296875
310,113.1591796875
311,113.525390625
312,113.8916015625
313,114.2578125
314,114.6240234375
315,114.990234375
316,115.3564453125
317,115.72265625
318,116.0888671875
319,116.455078125
320,116.8212890625
321,117.1875
322,117.5537109375
323,117.919921875
324,118.2861328125
325,118.65234375
326,119.0185546875
327,119.384765625
328,119.7509765625
329,120.1171875
330,120.4833984375
331,120.849609375
332,121.2158203125
333,121.58203125
334,121.9482421875
335,122.314453125
336,122.6806640625
337,123.046875
338,123.4130859375
339,123.779296875
340,124.1455078125
341,124.51171875
342,124.8779296875
343,125.244140625
344,125.6103515625
345,125.9765625
346,126.3427734375
347,126.708984375
348,127.0751953125
349,127.44140625
350,127.8076171875
351,128.173828125
352,128.5400390625
353,128.90625
354,129.2724609375
355,129.638671875
356,130.0048828125
357,130.37109375
358,130.7373046875
359,131.103515625
360,131.4697265625
361,131.8359375
362,132.2021484375
363,132.568359375
364,132.9345703125
365,133.30078125
366,133.6669921875
367,134.033203125
368,134.3994140625
369,134.765625
370,135.1318359375
371,135.498046875
372,135.8642578125
373,136.23046875
374,136.5966796875
375,136.962890625
376,137.3291015625
377,137.6953125
378,138.0615234375
379,138.427734375
380,138.7939453125
381,139.16015625
382,139.5263671875
383,139.892578125
384,140.2587890625
385,140.625
386,140.9912109375
387,141.357421875
388,141.7236328125
389,142.08984375
390,142.4560546875
391,142.822265625
392,143.1884765625
393,143.5546875
394,143.9208984375
395,144.287109375
396,144.6533203125
397,145.01953125
398,145.3857421875
399,145.751953125
400,146.1181640625
401,146.484375
402,146.8505859375
403,147.216796875
404,147.5830078125
405,147.94921875
406,148.3154296875
407,148.681640625
408,149.0478515625
409,149.4140625
410,149.7802734375
411,150.146484375
412,150.5126953125
413,150.87890625
414,151.2451171875
415,151.611328125
416,151.9775390625
417,152.34375
418,152.7099609375
419,153.076171875
420,153.4423828125
421,153.80859375
422,154.1748046875
423,154.541015625
424,154.9072265625
425,155.2734375
426,155.6396484375
427,156.005859375
428,156.3720703125
429,156.73828125
430,157.1044921875
431,157.470703125
432,157.8369140625
433,158.203125
434,158.5693359375
435,158.935546875
436,159.3017578125
437,159.66796875
438,160.0341796875
439,160.400390625
440,160.7666015625
441,161.1328125
442,161.4990234375
443,161.865234375
444,162.2314453125
445,162.59765625
446,162.9638671875
447,163.330078125
448,163.6962890625
449,164.0625
450,164.4287109375
451,164.794921875
452,165.1611328125
453,165.52734375
454,165.8935546875
455,166.259765625
456,166.6259765625
457,166.9921875
458,167.3583984375
459,167.724609375
460,168.0908203125
461,168.45703125
462,168.8232421875
463,169.189453125
464,169.5556640625
465,169.921875
466,170.2880859375
467,170.654296875
468,171.0205078125
469,171.38671875
470,171.7529296875
471,172.119140625
472,172.4853515625
473,172.8515625
474,173.2177734375
475,173.583984375
476,173.9501953125
477,174.31640625
478,174.6826171875
479,175.048828125
480,175.4150390625
481,175.78125
482,176.1474609375
483,176.513671875
484,176.8798828125
485,177.24609375
486,177.6123046875
487,177.978515625
488,178.3447265625
489,178.7109375
490,179.0771484375
491,179.443359375
492,179.8095703125
493,180.17578125
494,180.5419921875
495,180.908203125
496,181.2744140625
497,181.640625
498,182.0068359375
499,182.373046875
500,182.7392578125
501,183.10546875
502,183.4716796875
503,183.837890625
504,184.2041015625
505,184.5703125
506,184.9365234375
507,185.302734375
508,185.6689453125
509,186.03515625
510,186.4013671875
511,186.767578125
512,187.1337890625
