,small cell vs. small cell
0,0.9986570377902305
1,0.9984754531167622
2,0.998316388060049
3,0.9981786472337555
4,0.9980606837610467
5,0.997959990988187
6,0.9978730737920887
7,0.9977958094760844
8,0.9977229990473874
9,0.9976488072583137
10,0.9975674001371552
11,0.9974728372728702
12,0.9973579991755227
13,0.9972172310340185
14,0.9970472909340538
15,0.9968453622730606
16,0.9966091663798601
17,0.9963385619172326
18,0.9960385699260494
19,0.995713928680946
20,0.9953708431237257
21,0.9950169940616634
22,0.994662651438755
23,0.9943165878794396
24,0.9939872466586017
25,0.9936843288409741
26,0.9934132928213879
27,0.9931782820784865
28,0.9929819209528482
29,0.9928270111113552
30,0.9927115550413005
31,0.9926320452674842
32,0.9925850470393099
33,0.9925673157155172
34,0.9925743343056466
35,0.9926008711197448
36,0.9926435024701452
37,0.9926997685164419
38,0.9927684367314703
39,0.9928482170066872
40,0.992939591745676
41,0.9930438356309502
42,0.9931642266538308
43,0.993302079215577
44,0.9934596215065611
45,0.9936387819379257
46,0.9938423071740977
47,0.9940695551511887
48,0.9943190899491324
49,0.9945886821783247
50,0.9948752815261851
51,0.9951731447062233
52,0.995475343572634
53,0.995774659259907
54,0.9960627100284682
55,0.9963295255257993
56,0.9965671583049934
57,0.9967673954394191
58,0.9969222203733827
59,0.9970207558571115
60,0.9970606602782642
61,0.9970378113276179
62,0.9969496363899122
63,0.9967909625494955
64,0.9965670483842275
65,0.9962823564955986
66,0.9959426430664695
67,0.9955538430317904
68,0.9951280241724668
69,0.9946781296625982
70,0.9942167048978262
71,0.9937572480973675
72,0.9933144387358752
73,0.9929000053348811
74,0.9925239698438639
75,0.9921948187779771
76,0.9919202602949939
77,0.9916984026294601
78,0.991526979113921
79,0.9914006366318697
80,0.991312921889936
81,0.991249432046501
82,0.9911975575321611
83,0.9911441444170184
84,0.9910744312071903
85,0.9909756160111988
86,0.9908380016800271
87,0.990653851121477
88,0.9904159177111175
89,0.9901221914006076
90,0.9897761906667277
91,0.9893820141630733
92,0.9889452913785467
93,0.9884742043199937
94,0.9879808735890181
95,0.987475483726088
96,0.9869682160627
97,0.9864700749008876
98,0.9859896621992281
99,0.985534007430849
100,0.9851087019758425
101,0.9847202323284029
102,0.9843695398016039
103,0.9840571955558454
104,0.983783196779032
105,0.9835483762762295
106,0.9833504458933274
107,0.9831863341414028
108,0.9830538748266446
109,0.9829515170190306
110,0.9828769810082573
111,0.9828262356673171
112,0.9827964675460914
113,0.9827848194797629
114,0.9827884316953189
115,0.9828026066441496
116,0.9828237678268841
117,0.982848440329206
118,0.9828732837544369
119,0.9828957182296256
120,0.9829145503092079
121,0.982929949265927
122,0.9829438760448708
123,0.9829608358140852
124,0.9829870157488398
125,0.9830303521096875
126,0.9831017699443357
127,0.983213525153193
128,0.9833756694932151
129,0.9835988918531554
130,0.9838942504895694
131,0.9842727561088311
132,0.9847341794860031
133,0.9852788431514962
134,0.9859033813700442
135,0.9866042606294246
136,0.9873628224996179
137,0.9881630343335763
138,0.9889860993706959
139,0.9898096755671165
140,0.9906094034840294
141,0.9913634746222518
142,0.9920512194823277
143,0.9926492291387046
144,0.9931408117260796
145,0.9935167372213027
146,0.9937684931483258
147,0.9938875730689948
148,0.9938699968220454
149,0.9937253162154986
150,0.9934596596583963
151,0.9930809434892656
152,0.992596335528187
153,0.9920277427135841
154,0.9913912378527951
155,0.9907044550159919
156,0.9899859939772577
157,0.9892598303509769
158,0.988546963492991
159,0.9878683561177691
160,0.9872489369430228
161,0.9867092447757572
162,0.9862659296993607
163,0.9859350126610007
164,0.9857348074576885
165,0.985677521212499
166,0.9857636417061169
167,0.9859953290959087
168,0.9863734167383784
169,0.9868973105440537
170,0.9875486545210227
171,0.9883148056763229
172,0.9891806886829491
173,0.9901336757381549
174,0.9911473212448361
175,0.9922023099059832
176,0.9932791870919673
177,0.9943574559228501
178,0.9954167088664329
179,0.9964397093034916
180,0.9974104028073498
181,0.9983104299134227
182,0.9991255214863354
183,0.9998466789392916
184,1.0004640471877344
185,1.0009663289864916
186,1.0013432903879953
187,1.001596772953516
188,1.0017247481148501
189,1.0017263820601667
190,1.0015971278053513
191,1.0013513246071455
192,1.0009968914647664
193,1.0005439620539576
194,1.0000001170729382
195,0.99938577720108
196,0.9987169284073766
197,0.9980091739913148
198,0.997277787691719
199,0.9965394161552603
200,0.9958071895477766
201,0.9950915916750671
202,0.9944017771722005
203,0.9937437441995184
204,0.9931181394872388
205,0.9925244573846549
206,0.9919606253036121
207,0.9914233789212682
208,0.9909059421349428
209,0.9904037866881172
210,0.9899133407517404
211,0.989433541773749
212,0.9889643691367034
213,0.9885094125830124
214,0.9880749434556853
215,0.9876723015907947
216,0.9873127455294222
217,0.987008318639534
218,0.9867720042613156
219,0.9866200402229627
220,0.9865639675667888
221,0.9866081595145915
222,0.9867564398729973
223,0.9870108823278332
224,0.9873687260627613
225,0.987814200681526
226,0.9883334307985013
227,0.9889096809103893
228,0.989523989694027
229,0.9901520982875158
230,0.99077441496651
231,0.9913730661804017
232,0.9919293028150107
233,0.9924337848811708
234,0.9928813968920251
235,0.9932711694902135
236,0.9936044537580189
237,0.9938917444977182
238,0.9941465840384919
239,0.9943828746222361
240,0.994615783336815
241,0.9948616155837408
242,0.9951329111971976
243,0.9954392747623786
244,0.9957875939493743
245,0.9961824230644547
246,0.9966189919221459
247,0.9970918685209916
248,0.9975929740667521
249,0.9981124400930282
250,0.9986370533576026
251,0.9991557773375004
252,0.9996585266115945
253,1.0001347248375119
254,1.0005782856583298
255,1.0009858485408805
256,1.0013554321973321
257,1.0016852553651807
258,1.0019766757631468
259,1.002233258646065
260,1.0024571909454023
261,1.0026498483749693
262,1.0028118777604278
263,1.002945895286581
264,1.0030522185685002
265,1.0031307489384753
266,1.003179557298487
267,1.0032012069000376
268,1.003196966315129
269,1.0031691653963484
270,1.003120561877594
271,1.0030579682613807
272,1.0029884127498383
273,1.0029198413963443
274,1.0028621540564173
275,1.0028259533875021
276,1.0028205993798993
277,1.0028554236171663
278,1.0029406310709164
279,1.003085320285696
280,1.0032923212780849
281,1.0035647746297678
282,1.0039042682787094
283,1.0043120521140787
284,1.0047789124915798
285,1.0052974459725355
286,1.0058579527844669
287,1.006449389118619
288,1.0070550464829904
289,1.0076599795801815
290,1.0082489336089389
291,1.0088039527457304
292,1.0093101543348504
293,1.0097555836480816
294,1.010129286620773
295,1.0104191902863782
296,1.0106181849857814
297,1.010726590180202
298,1.0107438849329091
299,1.0106703330976021
300,1.010507569547029
301,1.0102673957057366
302,1.0099579021017253
303,1.0095882658515265
304,1.0091661474739355
305,1.0087067071141895
306,1.0082206316227371
307,1.0077183442684046
308,1.007210215415628
309,1.0067062476268172
310,1.006214120928091
311,1.0057401805622805
312,1.0052906896680731
313,1.0048688883130492
314,1.004475267362929
315,1.0041097600770268
316,1.0037717395958385
317,1.0034590001595087
318,1.0031667608976527
319,1.0028915432745997
320,1.0026301746891733
321,1.002380528987196
322,1.00214008871542
323,1.0019087436963374
324,1.0016877907737805
325,1.001481333047464
326,1.0012929872356735
327,1.0011277360326276
328,1.0009910704323552
329,1.0008904981455649
330,1.0008301740433976
331,1.0008124047355431
332,1.000838784230665
333,1.0009104782413882
334,1.0010250088993211
335,1.0011760388143105
336,1.0013576853122157
337,1.0015632758570812
338,1.001785080121845
339,1.0020144837422744
340,1.0022448702297089
341,1.0024706381373714
342,1.0026862848690707
343,1.0028898349980855
344,1.0030800182897226
345,1.0032565634057637
346,1.0034190112233436
347,1.0035688054624525
348,1.0037067149846413
349,1.0038327469285795
350,1.0039455998051399
351,1.0040438641808398
352,1.0041262263064255
353,1.004190874521728
354,1.0042359687954816
355,1.0042608723900686
356,1.0042684792136674
357,1.0042627308705827
358,1.0042498864861678
359,1.0042397230128588
360,1.004243694731993
361,1.004273738757478
362,1.004341893284749
363,1.004463006269284
364,1.004643061084443
365,1.004885391451715
366,1.0051890112696815
367,1.0055490880560898
368,1.0059497571358589
369,1.0063707776650737
370,1.0067891264208988
371,1.0071769065363072
372,1.0075036603634426
373,1.0077468208883595
374,1.007886466734919
375,1.0079069568702472
376,1.0077973481839033
377,1.007570891246522
378,1.0072425877450906
379,1.0068360203922384
380,1.0063825303540583
381,1.005925436977097
382,1.0055043753553188
383,1.005158480376954
384,1.0049326654316526
385,1.004855569936452
386,1.0049464130603285
387,1.00521827555165
388,1.005682670102223
389,1.0063328095885442
390,1.0071479157510694
391,1.008108211029965
392,1.0091916390918294
393,1.0103709130106249
394,1.011611581940838
395,1.0128866545995425
396,1.0141709458399493
397,1.0154392850425613
398,1.0166726891056446
399,1.017856395884353
400,1.0189789184795692
401,1.0200268668254653
