,small cell vs. small cell
0,1.0493895210761506
1,1.0494946181210303
2,1.0491432249559123
3,1.0483634328326876
4,1.0471607005418506
5,1.0456173491949188
6,1.0437757603605098
7,1.0416484928095868
8,1.0392684353879629
9,1.0367063838956436
10,1.0339969568511331
11,1.0311391102738972
12,1.0281844876189057
13,1.0251787554058778
14,1.0221474888421969
15,1.0190857211366728
16,1.0160488188498025
17,1.0130623358165611
18,1.0101442928931434
19,1.0073025088016943
20,1.0045775610296612
21,1.0019869356672306
22,0.999546396125184
23,0.9972763139462871
24,0.9951967743544827
25,0.9933211018916397
26,0.9916665034036038
27,0.9902475195134062
28,0.989067503928586
29,0.9881306541747663
30,0.9874523734730293
31,0.9870249617517594
32,0.9868379966886658
33,0.9868829558832486
34,0.9871680079331135
35,0.9876601851299038
36,0.9883413444800011
37,0.9891957926842115
38,0.9902142682595101
39,0.9913597787408686
40,0.99261140434311
41,0.9939526376088847
42,0.9953638388013156
43,0.9968181800131973
44,0.9982984757199428
45,0.9997916791819701
46,1.001280775992915
47,1.0027515248023569
48,1.0041939271269429
49,1.005599648451259
50,1.0069602077150692
51,1.0082701761225312
52,1.009525373667293
53,1.0107202525837338
54,1.011853394328893
55,1.012922640198398
56,1.0139252291698284
57,1.014856560931658
58,1.0157166003288012
59,1.0165026269931332
60,1.017209068841081
61,1.0178303597643996
62,1.0183648647077295
63,1.0188077878958388
64,1.0191485300330048
65,1.019382885014809
66,1.0195086649456184
67,1.019521521913035
68,1.0194083378227272
69,1.0191740628341863
70,1.0188200785103947
71,1.0183472708514787
72,1.0177498797263171
73,1.0170454080368683
74,1.0162426429834395
75,1.0153498316018728
76,1.014377429061435
77,1.0133466361089878
78,1.012272306950063
79,1.01116799658032
80,1.0100508154665133
81,1.0089367229421764
82,1.0078378394948286
83,1.0067655285247767
84,1.0057284864039704
85,1.0047314167920005
86,1.0037767417193726
87,1.0028666553202115
88,1.0019962021032136
89,1.0011604317450238
90,1.000353355088813
91,0.9995677302711427
92,0.9987947420416063
93,0.998027369940269
94,0.9972590384575086
95,0.9964843316327971
96,0.9957018579474309
97,0.9949119920296001
98,0.9941173188486883
99,0.9933250695145879
100,0.9925449781672939
101,0.9917885147890358
102,0.9910724339759355
103,0.9904125512249401
104,0.9898241895957358
105,0.9893231175305872
106,0.9889344637706464
107,0.988663927892534
108,0.9885211210214149
109,0.9885149162078544
110,0.9886551991242671
111,0.9889289291583044
112,0.9893280997801921
113,0.9898439840079373
114,0.9904583000045409
115,0.9911427583186858
116,0.9918726074855738
117,0.9926208103983885
118,0.9933545709967647
119,0.9940452430603459
120,0.9946667148012516
121,0.9951870308511741
122,0.9955896567670265
123,0.9958620393497511
124,0.9959950095921972
125,0.995974597461568
126,0.9958177263651695
127,0.9955354777863865
128,0.9951420698741439
129,0.9946582115007937
130,0.9941179260637419
131,0.993549996078855
132,0.9929858763170664
133,0.9924608672506047
134,0.9920039832679178
135,0.9916413470081913
136,0.9914040856942264
137,0.9913084186373511
138,0.9913625569172987
139,0.9915724825592928
140,0.9919512704352736
141,0.9924806346465106
142,0.993147308973403
143,0.9939363383636376
144,0.9948329641985193
145,0.9958032655155623
146,0.9968224860919077
147,0.9978655382006382
148,0.9989041845987635
149,0.9999129652486269
150,1.0008709154672457
151,1.0017560416458051
152,1.0025519663428686
153,1.0032510479128776
154,1.0038468847082453
155,1.0043299166519812
156,1.0047062701329945
157,1.0049833431076534
158,1.0051689797251075
159,1.0052676973969628
160,1.0052997495420914
161,1.005279021042824
162,1.005219407087229
163,1.0051358495509397
164,1.0050452836521218
165,1.0049608999626007
166,1.004895880020644
167,1.0048629408681415
168,1.0048696947889968
169,1.0049229729514533
170,1.005030839586176
171,1.0051955543967803
172,1.005415807923681
173,1.0056903335128087
174,1.0060196009558782
175,1.0063948893112267
176,1.006808495724239
177,1.0072523288541932
178,1.007717891071448
179,1.0081916000436373
180,1.0086623350657022
181,1.0091181886911542
182,1.009545191796051
183,1.009933218754251
184,1.0102723142155772
185,1.010550986826241
186,1.0107602720873143
187,1.0108975564488076
188,1.010959247368384
189,1.0109387721325196
190,1.0108384821541938
191,1.0106624741412367
192,1.0104137027350506
193,1.0100907805120365
194,1.0097036171468103
195,1.0092577683828556
