,r
0,-0.3047826963240148
1,0.0
2,0.3047826963240148
3,0.6095653926480296
4,0.9143480889720443
5,1.2191307852960591
6,1.523913481620074
7,1.8286961779440887
8,2.1334788742681035
9,2.4382615705921182
10,2.743044266916133
11,3.047826963240148
12,3.3526096595641626
13,3.6573923558881773
14,3.962175052212192
15,4.266957748536207
16,4.571740444860222
17,4.8765231411842365
18,5.181305837508251
19,5.486088533832266
20,5.790871230156281
21,6.095653926480296
22,6.40043662280431
23,6.705219319128325
24,7.01000201545234
25,7.314784711776355
26,7.6195674081003695
27,7.924350104424384
28,8.229132800748399
29,8.533915497072414
30,8.838698193396429
31,9.143480889720443
32,9.448263586044458
33,9.753046282368473
34,10.057828978692488
35,10.362611675016502
36,10.667394371340517
37,10.972177067664532
38,11.276959763988547
39,11.581742460312562
40,11.886525156636576
41,12.191307852960591
42,12.496090549284606
43,12.80087324560862
44,13.105655941932635
45,13.41043863825665
46,13.715221334580665
47,14.02000403090468
48,14.324786727228695
49,14.62956942355271
50,14.934352119876724
51,15.239134816200739
52,15.543917512524754
53,15.848700208848769
54,16.153482905172783
55,16.458265601496798
56,16.763048297820813
57,17.067830994144828
58,17.372613690468842
59,17.677396386792857
60,17.982179083116872
61,18.286961779440887
62,18.5917444757649
63,18.896527172088916
64,19.20130986841293
65,19.506092564736946
66,19.81087526106096
67,20.115657957384975
68,20.42044065370899
69,20.725223350033005
70,21.03000604635702
71,21.334788742681035
72,21.63957143900505
73,21.944354135329064
74,22.24913683165308
75,22.553919527977094
76,22.85870222430111
77,23.163484920625123
78,23.468267616949138
79,23.773050313273153
80,24.077833009597168
81,24.382615705921182
82,24.687398402245197
83,24.992181098569212
84,25.296963794893227
85,25.60174649121724
86,25.906529187541256
87,26.21131188386527
88,26.516094580189286
89,26.8208772765133
90,27.125659972837315
91,27.43044266916133
92,27.735225365485345
93,28.04000806180936
94,28.344790758133374
95,28.64957345445739
96,28.954356150781404
97,29.25913884710542
98,29.563921543429434
99,29.86870423975345
100,30.173486936077463
101,30.478269632401478
102,30.783052328725493
103,31.087835025049507
104,31.392617721373522
105,31.697400417697537
106,32.00218311402155
107,32.30696581034557
108,32.611748506669585
109,32.916531202993596
110,33.22131389931761
111,33.526096595641626
112,33.830879291965644
113,34.135661988289655
114,34.44044468461367
115,34.745227380937685
116,35.0500100772617
117,35.354792773585714
118,35.659575469909726
119,35.964358166233744
