,small cell vs. small cell
0,1.0141225671789307
1,1.0119180247074342
2,1.0099670735884583
3,1.0082681136714016
4,1.0068368105936418
5,1.0056665778688194
6,1.0047526519225853
7,1.0040923347443447
8,1.0036689317384329
9,1.0034654224935067
10,1.0034760547328037
11,1.0036741109468934
12,1.0040299218891506
13,1.0045180584329496
14,1.0051268970855258
15,1.0058115814593218
16,1.0065436582068423
17,1.0072980908108093
18,1.0080500527779834
19,1.0087676040162474
20,1.0094299565614715
21,1.010017678350116
22,1.0105123031497498
23,1.0109043215322542
24,1.0111875322520107
25,1.0113524903368944
26,1.0114033096845199
27,1.0113479572246689
28,1.0111947445772271
29,1.0109461923313103
30,1.010625317190081
31,1.0102474195870395
32,1.0098273066308234
33,1.0093810350773915
34,1.0089299553853086
35,1.0084900158914463
36,1.0080772847153803
37,1.0077083113616954
38,1.007394962990669
39,1.007147404252542
40,1.0069789342226234
41,1.006893483473822
42,1.006891979964022
43,1.0069742989867838
44,1.0071450090358556
45,1.0073895612311707
46,1.0076982607435943
47,1.0080600111977707
48,1.008460186387071
49,1.0088767691469458
50,1.0092908896282426
51,1.0096812883582182
52,1.010024508378194
53,1.0103018237157235
54,1.0104957028888792
55,1.0105829825974453
56,1.0105542943912644
57,1.0104042504927992
58,1.010129217212461
59,1.009718216158073
60,1.009189863925851
61,1.0085550314765503
62,1.0078260704750877
63,1.0070196488944605
64,1.0061645559423815
65,1.0052834997446447
66,1.004400021540675
67,1.00354099287448
68,1.0027286966282443
69,1.0019820081349577
70,1.0013227554104227
71,1.0007607886727035
72,1.000301264494802
73,0.9999466847223087
74,0.9997027266898638
75,0.9995529531885434
76,0.9994859715419473
77,0.9994886591107008
78,0.9995435870771016
79,0.9996273159492916
80,0.9997204478033731
81,0.9998023189121271
82,0.9998520588122861
83,0.9998541477128081
84,0.9997950364130137
85,0.9996576917928514
86,0.9994375879162104
87,0.9991322769055158
88,0.9987403984361648
89,0.9982565960183815
90,0.9976940573512907
91,0.9970599933984436
92,0.9963616187022594
93,0.9956085588003643
94,0.9948170676010264
95,0.9939992543999907
96,0.9931669995211506
97,0.9923349317220699
98,0.9915161038856507
99,0.9907220494134927
100,0.9899666090540411
101,0.989259484241211
102,0.9886088477460467
103,0.9880225488013105
104,0.987512555937418
105,0.9870781460804373
106,0.986721850241049
107,0.9864467755705828
108,0.9862543654127752
109,0.986136871447815
110,0.9860898125249782
111,0.9861103808950586
112,0.9861897125482765
113,0.9863175217929587
114,0.9864857925356044
115,0.9866885059831594
116,0.9869154641893133
117,0.9871598727729581
118,0.9874166951167048
119,0.9876827061886632
120,0.9879547474666628
121,0.9882321994431996
122,0.9885158716422744
123,0.9888077532471051
124,0.989109303886711
125,0.9894224888519546
126,0.989749848578287
127,0.9900918748498911
128,0.9904472619658875
129,0.9908139701350831
130,0.9911888582518363
131,0.99156523071046
132,0.9919361265885002
133,0.992293552004535
134,0.9926264315272834
135,0.9929267403234336
136,0.9931861318744922
137,0.9933953818834773
138,0.9935462614462599
139,0.9936379277582784
140,0.9936690642726986
141,0.9936377473234651
142,0.9935500192731952
143,0.9934153033094819
144,0.993243239072624
145,0.9930448133129068
146,0.9928372714376352
147,0.992635956592733
148,0.9924567620781017
149,0.992319603406832
150,0.9922372627153303
151,0.9922225301261881
152,0.9922892362549321
153,0.9924485826231734
154,0.9927003941819456
155,0.9930458012148908
156,0.9934875487557683
157,0.9940162755124562
158,0.9946186923314227
159,0.9952817214792141
160,0.9959914904720492
161,0.9967239984292995
162,0.9974584291968467
163,0.9981729814741518
164,0.9988404985015409
165,0.9994410366296755
166,0.9999546618212218
167,1.0003588219002406
168,1.0006332701983776
169,1.0007719294426471
170,1.0007663802906477
171,1.0006029706152766
172,1.0002854237140515
173,0.9998230051248426
174,0.9992238339618432
175,0.9984904603609368
176,0.9976493993250423
177,0.9967200772646863
178,0.9957219153198498
179,0.9946760245160734
180,0.9936105203905565
181,0.9925474133636395
182,0.9915094424852833
183,0.9905199829180822
184,0.9895953664190914
185,0.9887503861266487
186,0.9880031123520611
187,0.9873607408754589
188,0.986825334167883
189,0.9863984996292692
190,0.9860870665449505
191,0.9858772677552122
192,0.9857600836187816
193,0.9857260473151214
194,0.9857648301760339
195,0.9858556533758247
196,0.9859831264074271
197,0.9861315326182114
198,0.9862827293639254
199,0.9864206709487583
200,0.9865315564989727
201,0.986599806156848
202,0.9866151910130285
203,0.9865713572827427
204,0.9864631750423292
205,0.9862823574359342
206,0.9860350585043284
207,0.9857253853057162
208,0.985358798206788
209,0.9849429602476426
210,0.9844939082948654
211,0.9840253012095109
212,0.9835529315094497
213,0.9830960636628855
214,0.9826720946884729
215,0.9822981328400553
216,0.9819962490674768
217,0.9817814723694961
218,0.9816652748832225
219,0.9816588129976231
220,0.9817816784458577
221,0.9820296332069076
222,0.9824037065022571
223,0.9829045474822223
224,0.9835325546154189
225,0.9842695547538339
226,0.9851037083546739
227,0.9860234770079105
228,0.9870098381376042
229,0.9880399621108145
230,0.9890942281184096
231,0.9901512957500044
232,0.9911880681869696
233,0.9921852330819826
234,0.9931249153012741
235,0.9939830368909423
236,0.994751052650378
237,0.9954188945976947
238,0.9959769671089752
239,0.9964156057603367
240,0.9967427093000172
241,0.9969618970812041
242,0.9970758881854118
243,0.9970958933802273
244,0.9970393343874723
245,0.9969205410812101
246,0.9967532385084565
247,0.9965577434043368
248,0.9963509521872769
249,0.9961477505369313
250,0.9959644698397428
251,0.9958116989463371
252,0.9956977574565409
253,0.9956295265525111
254,0.9956124173540989
255,0.9956430705263271
256,0.9957189942688252
257,0.9958373718481497
258,0.995991178124903
259,0.9961714935943062
260,0.9963710096319198
261,0.996582889657274
262,0.9967993961774735
263,0.9970151794298128
264,0.9972264603225396
265,0.9974302697579267
266,0.9976266479337341
267,0.9978166072883135
268,0.9980022852326311
269,0.9981872519817344
270,0.9983755293491078
271,0.9985710009388566
272,0.9987781424185399
273,0.9990006434696104
274,0.9992403572907966
275,0.9994988159690978
276,0.9997780722229234
277,1.00007661633068
278,1.0003926793099078
279,1.0007243346940113
280,1.0010700714365384
281,1.0014256320413073
282,1.001788283127089
283,1.0021555247119425
284,1.0025249066584796
285,1.0028942266832523
286,1.003262041188215
287,1.003627106271765
288,1.0039884172833278
289,1.0043452425360646
290,1.004696674680679
291,1.005040974428627
292,1.00537647926563
293,1.0057009209443122
294,1.0060112165983102
295,1.0063017131479257
296,1.006569044060639
297,1.0068082643231302
298,1.0070130493842593
299,1.0071758323346396
300,1.007293565535383
301,1.0073615379117207
302,1.0073727388589508
303,1.0073241063226992
304,1.007215909235968
305,1.0070472953100547
306,1.0068141734939327
307,1.0065216986929155
308,1.006173617903299
309,1.0057732036366815
310,1.0053214737158813
311,1.0048281041652627
312,1.004298644969959
313,1.0037382567269149
314,1.0031531837316625
315,1.0025518772970547
316,1.0019409341709797
317,1.0013272805089521
318,1.0007190152706158
319,1.000123407947095
320,0.9995476298745554
321,0.9990015769635205
322,0.9984919085992279
323,0.9980253409506756
324,0.9976092301672952
325,0.9972553082155282
326,0.9969655152979797
327,0.9967452846282752
328,0.9966017990187523
329,0.996541839996392
330,0.9965637039551981
331,0.996669228034365
332,0.9968637967956192
333,0.997145540978679
334,0.9975096042773818
335,0.9979531732332573
336,0.9984776454924765
337,0.999072159960698
338,0.9997288613958183
339,1.0004401959213232
340,1.001199074676913
341,1.001990179455092
342,1.0028018376336925
343,1.0036213592834466
344,1.004433332055968
345,1.0052233661481942
346,1.0059776665347353
347,1.0066791826199681
348,1.0073140797860416
349,1.007872505650222
350,1.0083443449569265
351,1.0087131829882727
352,1.0089786725324057
353,1.009138816526767
354,1.0091917715887149
355,1.009132718936299
356,1.0089755310480193
357,1.0087279225741734
358,1.00839750758777
359,1.0079966933920426
360,1.0075441086660089
361,1.0070547301211823
362,1.006544023820549
363,1.0060306090971887
364,1.0055304208709734
365,1.0050577475593652
366,1.0046299723129553
367,1.0042564761941184
368,1.003945404038258
369,1.0037040769009204
370,1.0035416143871905
371,1.003453535892005
372,1.0034385500927563
373,1.0034955871372127
374,1.0036196050351351
375,1.0037993971130823
376,1.0040264832522554
377,1.0042930455670007
378,1.0045865879470388
379,1.004895651839135
380,1.0052101313870516
381,1.0055190211740823
382,1.0058124778485438
383,1.0060823706875295
384,1.0063209017087869
385,1.0065187755031602
386,1.0066733726958357
387,1.0067808331341166
388,1.0068363347527227
389,1.0068368949817168
390,1.0067843696672782
391,1.0066786080988275
392,1.006516833316444
393,1.0063016349253675
394,1.006035867118595
395,1.0057209032248127
396,1.0053542514436173
397,1.004941336021652
398,1.0044841278417622
399,1.0039836808138896
400,1.0034396614182355
401,1.0028577986593878
402,1.0022409247145414
403,1.0015912830343554
404,1.0009132637982963
405,1.0002135953166176
406,0.9994978330886336
407,0.9987717646148205
408,0.9980432410697632
409,0.9973192128006371
410,0.996606067583329
411,0.9959115442665605
412,0.9952400684949997
413,0.994595422365801
414,0.9939808330803934
415,0.9933994308996579
416,0.9928489988215187
417,0.9923282613947557
418,0.9918359614048556
419,0.9913689706834589
420,0.9909227310099554
421,0.9904940416132307
422,0.9900806655675961
423,0.9896796112766773
424,0.989289179740258
