,r
0,-0.1611328125
1,0.0
2,0.1611328125
3,0.322265625
4,0.4833984375
5,0.64453125
6,0.8056640625
7,0.966796875
8,1.1279296875
9,1.2890625
10,1.4501953125
11,1.611328125
12,1.7724609375
13,1.93359375
14,2.0947265625
15,2.255859375
16,2.4169921875
17,2.578125
18,2.7392578125
19,2.900390625
20,3.0615234375
21,3.22265625
22,3.3837890625
23,3.544921875
24,3.7060546875
25,3.8671875
26,4.0283203125
27,4.189453125
28,4.3505859375
29,4.51171875
30,4.6728515625
31,4.833984375
32,4.9951171875
33,5.15625
34,5.3173828125
35,5.478515625
36,5.6396484375
37,5.80078125
38,5.9619140625
39,6.123046875
40,6.2841796875
41,6.4453125
42,6.6064453125
43,6.767578125
44,6.9287109375
45,7.08984375
46,7.2509765625
47,7.412109375
48,7.5732421875
49,7.734375
50,7.8955078125
51,8.056640625
52,8.2177734375
53,8.37890625
54,8.5400390625
55,8.701171875
56,8.8623046875
57,9.0234375
58,9.1845703125
59,9.345703125
60,9.5068359375
61,9.66796875
62,9.8291015625
63,9.990234375
64,10.1513671875
65,10.3125
66,10.4736328125
67,10.634765625
68,10.7958984375
69,10.95703125
70,11.1181640625
71,11.279296875
72,11.4404296875
73,11.6015625
74,11.7626953125
75,11.923828125
76,12.0849609375
77,12.24609375
78,12.4072265625
79,12.568359375
80,12.7294921875
81,12.890625
82,13.0517578125
83,13.212890625
84,13.3740234375
85,13.53515625
86,13.6962890625
87,13.857421875
88,14.0185546875
89,14.1796875
90,14.3408203125
91,14.501953125
92,14.6630859375
93,14.82421875
94,14.9853515625
95,15.146484375
96,15.3076171875
97,15.46875
98,15.6298828125
99,15.791015625
100,15.9521484375
101,16.11328125
102,16.2744140625
103,16.435546875
104,16.5966796875
105,16.7578125
106,16.9189453125
107,17.080078125
108,17.2412109375
109,17.40234375
110,17.5634765625
111,17.724609375
112,17.8857421875
113,18.046875
114,18.2080078125
115,18.369140625
116,18.5302734375
117,18.69140625
118,18.8525390625
119,19.013671875
120,19.1748046875
121,19.3359375
122,19.4970703125
123,19.658203125
124,19.8193359375
125,19.98046875
126,20.1416015625
127,20.302734375
128,20.4638671875
129,20.625
130,20.7861328125
131,20.947265625
132,21.1083984375
133,21.26953125
134,21.4306640625
135,21.591796875
136,21.7529296875
137,21.9140625
138,22.0751953125
139,22.236328125
140,22.3974609375
141,22.55859375
142,22.7197265625
143,22.880859375
144,23.0419921875
145,23.203125
146,23.3642578125
147,23.525390625
148,23.6865234375
149,23.84765625
150,24.0087890625
151,24.169921875
152,24.3310546875
153,24.4921875
154,24.6533203125
155,24.814453125
156,24.9755859375
157,25.13671875
158,25.2978515625
159,25.458984375
160,25.6201171875
161,25.78125
162,25.9423828125
163,26.103515625
164,26.2646484375
165,26.42578125
166,26.5869140625
167,26.748046875
168,26.9091796875
169,27.0703125
170,27.2314453125
171,27.392578125
172,27.5537109375
173,27.71484375
174,27.8759765625
175,28.037109375
176,28.1982421875
177,28.359375
178,28.5205078125
179,28.681640625
180,28.8427734375
181,29.00390625
182,29.1650390625
183,29.326171875
184,29.4873046875
185,29.6484375
186,29.8095703125
187,29.970703125
188,30.1318359375
189,30.29296875
190,30.4541015625
191,30.615234375
192,30.7763671875
193,30.9375
194,31.0986328125
195,31.259765625
196,31.4208984375
197,31.58203125
198,31.7431640625
199,31.904296875
200,32.0654296875
201,32.2265625
202,32.3876953125
203,32.548828125
204,32.7099609375
205,32.87109375
206,33.0322265625
207,33.193359375
208,33.3544921875
209,33.515625
210,33.6767578125
211,33.837890625
212,33.9990234375
213,34.16015625
214,34.3212890625
215,34.482421875
216,34.6435546875
217,34.8046875
218,34.9658203125
219,35.126953125
220,35.2880859375
221,35.44921875
222,35.6103515625
223,35.771484375
224,35.9326171875
225,36.09375
226,36.2548828125
227,36.416015625
228,36.5771484375
229,36.73828125
230,36.8994140625
231,37.060546875
232,37.2216796875
233,37.3828125
234,37.5439453125
235,37.705078125
236,37.8662109375
237,38.02734375
238,38.1884765625
239,38.349609375
240,38.5107421875
241,38.671875
242,38.8330078125
243,38.994140625
244,39.1552734375
245,39.31640625
246,39.4775390625
247,39.638671875
248,39.7998046875
249,39.9609375
250,40.1220703125
251,40.283203125
252,40.4443359375
253,40.60546875
254,40.7666015625
255,40.927734375
256,41.0888671875
257,41.25
258,41.4111328125
259,41.572265625
260,41.7333984375
261,41.89453125
262,42.0556640625
263,42.216796875
264,42.3779296875
265,42.5390625
266,42.7001953125
267,42.861328125
268,43.0224609375
269,43.18359375
270,43.3447265625
271,43.505859375
272,43.6669921875
273,43.828125
274,43.9892578125
275,44.150390625
276,44.3115234375
277,44.47265625
278,44.6337890625
279,44.794921875
280,44.9560546875
281,45.1171875
282,45.2783203125
283,45.439453125
284,45.6005859375
285,45.76171875
286,45.9228515625
287,46.083984375
288,46.2451171875
289,46.40625
290,46.5673828125
291,46.728515625
292,46.8896484375
293,47.05078125
294,47.2119140625
295,47.373046875
296,47.5341796875
297,47.6953125
298,47.8564453125
299,48.017578125
300,48.1787109375
301,48.33984375
302,48.5009765625
303,48.662109375
304,48.8232421875
305,48.984375
306,49.1455078125
307,49.306640625
308,49.4677734375
309,49.62890625
310,49.7900390625
311,49.951171875
312,50.1123046875
313,50.2734375
314,50.4345703125
315,50.595703125
316,50.7568359375
317,50.91796875
318,51.0791015625
319,51.240234375
320,51.4013671875
321,51.5625
322,51.7236328125
323,51.884765625
324,52.0458984375
325,52.20703125
326,52.3681640625
327,52.529296875
328,52.6904296875
329,52.8515625
330,53.0126953125
331,53.173828125
332,53.3349609375
333,53.49609375
334,53.6572265625
335,53.818359375
336,53.9794921875
337,54.140625
338,54.3017578125
339,54.462890625
340,54.6240234375
341,54.78515625
342,54.9462890625
343,55.107421875
344,55.2685546875
345,55.4296875
346,55.5908203125
347,55.751953125
348,55.9130859375
349,56.07421875
350,56.2353515625
351,56.396484375
352,56.5576171875
353,56.71875
354,56.8798828125
355,57.041015625
356,57.2021484375
357,57.36328125
358,57.5244140625
359,57.685546875
360,57.8466796875
361,58.0078125
362,58.1689453125
363,58.330078125
364,58.4912109375
365,58.65234375
366,58.8134765625
367,58.974609375
368,59.1357421875
369,59.296875
370,59.4580078125
371,59.619140625
372,59.7802734375
373,59.94140625
374,60.1025390625
375,60.263671875
376,60.4248046875
377,60.5859375
378,60.7470703125
379,60.908203125
380,61.0693359375
381,61.23046875
382,61.3916015625
383,61.552734375
384,61.7138671875
385,61.875
386,62.0361328125
387,62.197265625
388,62.3583984375
389,62.51953125
390,62.6806640625
391,62.841796875
392,63.0029296875
393,63.1640625
394,63.3251953125
395,63.486328125
396,63.6474609375
397,63.80859375
398,63.9697265625
399,64.130859375
400,64.2919921875
401,64.453125
402,64.6142578125
403,64.775390625
404,64.9365234375
405,65.09765625
406,65.2587890625
407,65.419921875
408,65.5810546875
409,65.7421875
410,65.9033203125
411,66.064453125
412,66.2255859375
413,66.38671875
414,66.5478515625
415,66.708984375
416,66.8701171875
417,67.03125
418,67.1923828125
419,67.353515625
420,67.5146484375
421,67.67578125
422,67.8369140625
423,67.998046875
424,68.1591796875
425,68.3203125
426,68.4814453125
427,68.642578125
428,68.8037109375
429,68.96484375
430,69.1259765625
431,69.287109375
432,69.4482421875
433,69.609375
434,69.7705078125
435,69.931640625
436,70.0927734375
437,70.25390625
438,70.4150390625
439,70.576171875
440,70.7373046875
441,70.8984375
442,71.0595703125
443,71.220703125
444,71.3818359375
445,71.54296875
446,71.7041015625
447,71.865234375
448,72.0263671875
449,72.1875
450,72.3486328125
451,72.509765625
452,72.6708984375
453,72.83203125
454,72.9931640625
455,73.154296875
456,73.3154296875
457,73.4765625
458,73.6376953125
459,73.798828125
460,73.9599609375
461,74.12109375
462,74.2822265625
463,74.443359375
464,74.6044921875
465,74.765625
466,74.9267578125
467,75.087890625
468,75.2490234375
469,75.41015625
470,75.5712890625
471,75.732421875
472,75.8935546875
473,76.0546875
474,76.2158203125
475,76.376953125
476,76.5380859375
477,76.69921875
478,76.8603515625
479,77.021484375
480,77.1826171875
481,77.34375
482,77.5048828125
483,77.666015625
484,77.8271484375
485,77.98828125
486,78.1494140625
487,78.310546875
488,78.4716796875
489,78.6328125
490,78.7939453125
491,78.955078125
492,79.1162109375
493,79.27734375
494,79.4384765625
495,79.599609375
496,79.7607421875
497,79.921875
498,80.0830078125
499,80.244140625
500,80.4052734375
501,80.56640625
502,80.7275390625
503,80.888671875
504,81.0498046875
505,81.2109375
506,81.3720703125
507,81.533203125
508,81.6943359375
509,81.85546875
510,82.0166015625
511,82.177734375
512,82.3388671875
