,smallcell vs. smallcell,smallcell vs. largecell,largecell vs. smallcell,largecell vs. largecell
0,1.0194170225676216,3.064112324121752e-15,6.739222832406946e-15,3.962382173197125e-15
1,1.0194170225676216,3.1123696285274225e-15,5.08688084781303e-15,1.150081497622342e-16
2,1.0194170225676191,3.902538469021114e-15,5.266832838863255e-15,5.630339760329643e-16
3,1.019417022567622,3.694178356031996e-15,1.4427617833607457e-15,8.100434069787642e-16
4,1.019417022567623,4.403254876844446e-15,3.3699795241287963e-15,2.561111077738199e-15
5,1.0194170225676238,2.2387152270908185e-15,3.2041563763515036e-15,0.0
6,1.019417022567621,7.422370282118089e-16,1.4007438904300515e-15,2.0005607401021413e-16
7,1.0194170225676225,2.9658652843861876e-15,2.3696083606204507e-16,0.0
8,1.019417022567621,1.3912485807165221e-15,3.018526078288484e-15,1.7657883768778288e-16
9,1.0194170225676216,1.3955950912631213e-15,3.0859359459867235e-15,4.2411446329002663e-16
10,1.0194170225676216,7.059337627482725e-16,1.3591089941787456e-15,0.0
11,1.0194170225676202,2.6464042646908436e-15,2.183278032994646e-15,1.4169310705255898e-16
12,1.0194170225676218,2.121877509861982e-15,8.841156291091591e-16,0.0
13,1.0194170225676216,0.0,1.5494756088287323e-15,2.7550264354632726e-16
14,1.01941702256762,1.5239254554791925e-15,1.5884374263590347e-15,8.915718842983944e-17
15,1.0194170225676213,2.534419843952175e-15,1.7020035203049535e-15,2.3331786020944533e-16
16,1.0194170225676225,1.0697500508983728e-15,1.1020330481258216e-15,8.995129105341846e-16
17,1.0194170225676205,9.387179728342384e-16,6.98795876428549e-16,1.802086740709881e-16
18,1.0194170225676211,8.632972049162631e-16,1.8422894247204887e-15,6.908681872795162e-16
19,1.0194170225676218,1.2491381053040847e-15,9.211930814263344e-16,4.75797689167529e-16
20,1.0194170225676213,1.5692910002730211e-15,9.55979037805433e-16,1.6489691160698918e-16
21,1.0194170225676213,3.329817590749353e-16,4.911374228331874e-16,7.25858711853346e-16
22,1.0194170225676218,1.1299477067216138e-16,1.3934783180939882e-15,0.0
23,1.0194170225676218,7.25083793563906e-16,1.1010005836509572e-15,0.0
24,1.0194170225676216,1.0440993928754357e-15,7.579737093310169e-16,5.429866253091011e-16
25,1.0194170225676216,1.566590444040603e-16,3.8750216854286656e-16,5.506595486787596e-16
26,1.0194170225676213,5.763983718226203e-16,4.557011457383353e-16,1.7509536666763812e-16
27,1.0194170225676213,1.961902775074688e-16,7.885670004543366e-16,3.0875548379697034e-16
28,1.0194170225676216,2.8450157763311007e-16,5.982373810051681e-16,7.679251205267117e-16
29,1.0194170225676216,1.0012188039321613e-15,8.07311617130982e-16,4.2840012783289935e-16
30,1.0194170225676216,3.2799360988402358e-18,1.3284133983740155e-16,4.0280503925305836e-16
31,1.0194170225676216,6.743687938014664e-17,2.63661027582953e-16,7.888202383819675e-16
32,1.019417022567621,2.3637162146003987e-16,7.840104886005068e-16,2.5524743781407898e-17
33,1.019417022567621,1.4358833575444077e-16,2.8498096618271167e-16,7.650355845795291e-16
34,1.0194170225676218,4.325335453378081e-16,5.490570605178663e-16,4.247366028501616e-16
35,1.0194170225676211,5.00074680449961e-17,3.4549995623874695e-16,2.7343580380880295e-16
36,1.0194170225676211,2.5340103636351097e-16,6.358889365172269e-16,5.152785030860958e-17
37,1.0194170225676218,3.8416646849484894e-16,8.433934663848968e-16,5.200474527201348e-16
38,1.0194170225676218,1.4350221390373086e-16,4.513456665058846e-16,3.72916119476786e-17
39,1.0194170225676213,4.694163204276818e-16,1.4304143072884742e-16,3.095818793902513e-16
40,1.0194170225676213,0.0,2.3135116372208945e-16,9.363890589968141e-17
41,1.0194170225676211,9.47539289277873e-17,8.139601563711472e-16,0.0
42,1.0194170225676218,9.516093432854001e-17,1.8283333939267292e-16,1.2071283131130645e-16
43,1.0194170225676211,4.3649245383511215e-16,1.5849073034690442e-16,3.374744198129489e-16
44,1.0194170225676213,4.530987763174094e-16,1.6255682302421834e-16,3.063550460515229e-16
45,1.0194170225676211,6.7215419903446826e-18,7.231442705472364e-16,3.7863253145223715e-16
46,1.0194170225676213,1.8237827461365166e-17,3.647565492273033e-17,6.004880549086875e-17
47,1.0194170225676218,1.4911768846771847e-16,3.9764716924724923e-16,2.1464873892158122e-16
48,1.0194170225676216,0.0,3.774470243834121e-16,1.5989099232561519e-16
49,1.0194170225676213,0.0,0.0,2.3340272184268634e-16
50,1.0194170225676216,0.0,3.9066641218326796e-16,6.435472744404485e-17
51,1.0194170225676211,2.236794117198081e-16,4.747072183276441e-16,9.769866626500252e-17
52,1.0194170225676211,3.987677657516437e-16,1.3292258858388125e-16,2.418429815015213e-16
53,1.0194170225676218,0.0,0.0,4.0397092124310986e-16
54,1.0194170225676216,3.3690209610069923e-16,3.106342580461458e-16,1.210737294611574e-16
55,1.0194170225676216,4.717942805478517e-16,7.142085708819711e-16,6.964053054252573e-17
56,1.0194170225676216,0.0,9.189286998069904e-17,5.220221001271226e-16
57,1.0194170225676213,3.4881229152408713e-16,2.964478623633168e-16,2.9039386618202865e-16
58,1.0194170225676216,2.2275470790778923e-16,1.4480104670214358e-16,0.0
59,1.0194170225676218,4.889762425707783e-17,5.456175313775499e-16,2.5998547534389917e-16
60,1.0194170225676213,2.327629099310174e-16,4.2318128167646607e-16,0.0
61,1.0194170225676218,5.086681906484863e-17,8.6951611624826e-17,3.7312586638637227e-16
62,1.0194170225676218,4.542457263759053e-16,2.06475330170866e-16,4.499338454655253e-16
63,1.0194170225676211,1.522539738402002e-16,2.1593433226271462e-17,3.3089251288166055e-16
64,1.0194170225676216,2.072065080566548e-16,2.8342878473640363e-16,4.2636392400577546e-17
65,1.0194170225676211,0.0,1.0331787815147183e-16,3.572841158939671e-16
66,1.0194170225676213,2.08007051961576e-16,1.3955174948742693e-16,1.8076644516852635e-16
