,small cell vs. small cell
0,0.9894461086245991
1,0.9892219941352766
2,0.9889877889861146
3,0.988742826410786
4,0.988486445430977
5,0.9882149299283076
6,0.9879310954134959
7,0.9876349132606675
8,0.9873264047007717
9,0.9870053653475471
10,0.9866721185732134
11,0.9863303922964705
12,0.9859828017380574
13,0.9856329145791851
14,0.985285340599483
15,0.9849468842483741
16,0.9846246489680535
17,0.9843262785474397
18,0.9840599894716038
19,0.983837325562371
20,0.9836652171088588
21,0.983551133472138
22,0.9835018751274421
23,0.983524272731545
24,0.98362538912663
25,0.9838035494411619
26,0.9840588190449856
27,0.9843892303229624
28,0.9847931728597894
29,0.9852625715659601
30,0.98578592528923
31,0.9863516254026158
32,0.9869459685601059
33,0.9875532149991998
34,0.9881542705326909
35,0.9887318669721357
36,0.9892695725320619
37,0.9897517266608586
38,0.9901630920570221
39,0.9904993213086326
40,0.9907578634257942
41,0.9909409343034392
42,0.9910533451757298
43,0.9911081107790338
44,0.99112199564868
45,0.9911110509139371
46,0.9910913674473569
47,0.9910789141141334
48,0.991085986353691
49,0.9911201137650918
50,0.9911848449448064
51,0.9912801047927955
52,0.9914024344549539
53,0.9915431300063317
54,0.9916940728034555
55,0.9918471706061501
56,0.99199505242361
57,0.9921324485024121
58,0.992257703014856
59,0.9923717094560802
60,0.9924778213978636
61,0.9925816955993804
62,0.9926906867140382
63,0.9928117129567243
64,0.9929509991208961
65,0.993113690143971
66,0.9933038659120377
67,0.9935200101009974
68,0.9937593568933123
69,0.994016645749586
70,0.9942843393731665
71,0.9945517199943487
72,0.9948074219457446
73,0.9950398842196605
74,0.9952375943864703
75,0.9953865484115589
76,0.9954786378483945
77,0.9955073940428245
78,0.9954682406351909
79,0.9953587476676713
80,0.9951772976772052
81,0.9949331501823028
82,0.9946343801951248
83,0.9942916204038028
84,0.9939170919114342
85,0.9935265594685025
86,0.9931358699451112
87,0.992759232964271
88,0.9924095794876381
89,0.9921004312601239
90,0.9918389602631045
91,0.9916293646096757
92,0.9914735011197284
93,0.9913709837190215
94,0.9913209858609396
95,0.9913154596998618
96,0.9913488891033408
97,0.9914157093826519
98,0.9915115258692108
99,0.9916319125713899
100,0.9917727931239695
101,0.9919320708748175
102,0.9921083149259071
103,0.9923011838591025
104,0.992508745501274
105,0.9927289476943753
106,0.9929591884676116
107,0.9931959351416961
108,0.993434292970825
109,0.9936683357718377
110,0.9938920974164103
111,0.9940995124807338
112,0.9942840240882328
113,0.99443989550089
114,0.9945645115129089
115,0.9946559113283012
116,0.9947138416565832
117,0.9947383974374134
118,0.9947344068682223
119,0.9947073980282005
120,0.9946633565295125
121,0.9946088912948504
122,0.9945512718067919
123,0.9944978557650336
124,0.9944548759207869
125,0.9944280220845473
126,0.9944231531182101
127,0.9944458202941645
128,0.9944995108331162
129,0.9945885071015952
130,0.9947170958301171
131,0.9948919369345002
132,0.9951161857701921
133,0.9953924525735987
134,0.995723170073763
135,0.9961094391634211
136,0.9965532630778963
137,0.9970469081386457
138,0.9975836016956389
139,0.9981539813795622
140,0.9987465243209177
141,0.9993462270333835
142,0.999937459843859
143,1.0005056364899592
144,1.0010371526044173
145,1.0015174066668897
146,1.0019381239404865
147,1.0022952272478232
148,1.002587041048672
149,1.0028151829816223
150,1.0029812384209942
151,1.0030974451711827
152,1.003173367071522
153,1.0032194827884586
154,1.0032463031107322
155,1.003264876190163
156,1.003284990412763
157,1.0033141559686714
158,1.0033583221799387
159,1.0034228674722228
160,1.0035102333292754
161,1.0036210909657024
162,1.0037553487058115
163,1.003911813193454
164,1.0040892447621221
165,1.0042824963901242
166,1.0044866889794974
167,1.00469562110405
168,1.0049013700049032
169,1.0050934283981106
170,1.0052612675424115
171,1.0053933076285795
172,1.0054775893817622
173,1.005499311699905
174,1.0054484065739546
175,1.0053186750914942
176,1.0051056878161704
177,1.004808899516534
178,1.0044275950838908
179,1.0039766163272599
180,1.0034695959892272
181,1.0029233114775742
182,1.002356911102806
183,1.0017926631866154
184,1.0012509658642172
185,1.0007492346822675
186,1.0003018255451663
187,0.9999223598230434
188,0.9996159924423857
189,0.9993819758378011
190,0.9992176527196456
191,0.9991175237655874
192,0.999077223359601
193,0.9990845123050732
194,0.9991315965681615
195,0.9992121819015198
196,0.9993221960944279
197,0.9994597072937353
198,0.999622641666414
199,0.9998111870397656
200,1.0000255657392219
201,1.0002660027130865
202,1.0005290974933985
203,1.0008084577901368
204,1.001095288898946
205,1.0013776688838127
206,1.0016382063422753
207,1.00185939416052
208,1.0020229122505335
209,1.0021104973963415
210,1.0021034337392343
211,1.001982838769762
212,1.0017441710090644
213,1.0013830387189278
214,1.0009004603955864
215,1.0002993709223134
216,0.9995953709390611
217,0.9988102103981294
218,0.9979664210644141
219,0.9970895461219385
220,0.996209066938067
221,0.9953550458709886
222,0.9945540599777254
223,0.9938303655305423
224,0.9932066650818744
225,0.9927049632357583
226,0.9923299526028088
227,0.9920861202824476
228,0.99197219712954
229,0.9919852509602671
230,0.9921099780170604
231,0.9923245817412183
232,0.992607694562275
233,0.9929358244376544
234,0.9932842988913808
235,0.99362730219382
236,0.9939449653706078
237,0.9942219289498407
238,0.9944475040767128
239,0.9946160239757944
240,0.9947345102074338
241,0.9948129666894705
242,0.9948661880388207
243,0.9949129758129923
244,0.9949756054413941
245,0.9950736092699743
246,0.9952237494183326
247,0.9954387821261347
248,0.9957304943847004
249,0.9960962360623965
250,0.9965295495489839
251,0.9970194603616235
252,0.9975509383632777
253,0.9981047316804562
254,0.9986591185324103
255,0.9991954199715678
256,0.9996971705950523
257,1.000149196814779
258,1.0005422347306319
259,1.0008748161347032
260,1.0011479262541365
261,1.001366081896985
262,1.0015342031188414
263,1.0016636879962248
264,1.0017632504069296
265,1.0018395109041331
266,1.0018965078055277
267,1.001934389831362
268,1.0019515356397666
269,1.0019424863916435
270,1.0018998082406925
271,1.0018134345756184
272,1.0016742401714407
273,1.0014774941386797
274,1.0012197034688226
275,1.0009007595974986
276,1.0005217806826856
277,1.000093544590076
278,0.9996277866411628
279,0.9991374063812948
280,0.9986361435810948
281,0.9981385316739394
282,0.9976559199240352
283,0.9971961360301673
284,0.9967633985041607
285,0.9963588125377765
286,0.9959782107276679
287,0.9956130959441635
288,0.9952540027223106
289,0.9948904758781186
290,0.9945110053272718
291,0.9941068743272156
292,0.9936729013389699
293,0.9932072994791386
294,0.9927122414154088
295,0.9921943016085292
296,0.9916670077328748
297,0.9911455770064482
298,0.990647766303155
299,0.990194753373555
300,0.9898085688010687
301,0.9895048999454347
302,0.9892981354218421
303,0.9891984216076087
304,0.9892162816654836
305,0.9893456121261082
306,0.9895757886469043
307,0.9898924257994657
308,0.9902765304872477
309,0.9907054914546296
310,0.9911503887878595
311,0.9915871427802175
312,0.9919941745521054
313,0.992352413161463
314,0.9926490243079424
315,0.9928829671314368
316,0.9930583328158072
317,0.993186071710373
318,0.9932829924015334
319,0.9933746211628696
320,0.9934868096374831
321,0.9936453836486339
322,0.9938751052313004
323,0.994203803548745
324,0.9946414464721519
325,0.9951955894357022
326,0.9958662291067372
327,0.9966475814135936
328,0.9975226031458025
329,0.9984626623672697
330,0.9994380462638905
331,1.0004151920854962
332,1.0013544559821637
333,1.0022181593548063
334,1.002974475226699
335,1.0035950043080015
336,1.0040568171712108
337,1.0043326409430646
338,1.0044278964524278
339,1.0043456956862424
340,1.0040973733811054
341,1.0036991628024805
