,small cell vs. small cell
0,0.9899051193420412
1,0.9905960556625518
2,0.991345212808642
3,0.9921590823453003
4,0.9930170074329928
5,0.9939117345272263
6,0.9948404718941491
7,0.9957911436375737
8,0.9967461575244636
9,0.9976934932573571
10,0.9986218914235846
11,0.9995106063762198
12,1.0003439671425183
13,1.0011054539792084
14,1.001772954936623
15,1.0023330226321774
16,1.0027709652523717
17,1.0030649490229575
18,1.0032016910771013
19,1.003176429016178
20,1.0029815455530633
21,1.0025952198030343
22,1.0020305804317973
23,1.0012907199759902
24,1.0003757409980634
25,0.9992890075547558
26,0.9980552123018485
27,0.9966896085888541
28,0.9952033194163374
29,0.9936237137992618
30,0.9919769521282236
31,0.9902858950180617
32,0.9885736617589588
33,0.9868689919909619
34,0.9851937710059931
35,0.9835704937742968
36,0.9820213071795213
37,0.9805589649753291
38,0.9791954118532012
39,0.9779471469090784
40,0.9768156582671024
41,0.9758004947750271
42,0.9749021184151374
43,0.9741248918055794
44,0.9734543893234168
45,0.9728843485251641
46,0.9724117581032714
47,0.9720292497028816
48,0.9717262646670651
49,0.9714976934465747
50,0.9713448994012517
51,0.9712607856730417
52,0.9712433101937362
53,0.9712937940541677
54,0.9714170636852041
55,0.9716092610446573
56,0.9718713583599274
57,0.972207498522819
58,0.9726158756319505
59,0.9730911342709069
60,0.973629369445382
61,0.9742295087336823
62,0.9748787868049689
63,0.9755683735246333
64,0.9762897874778264
65,0.9770332774824645
66,0.9777877834623887
67,0.9785455016497984
68,0.9792996651032414
69,0.9800454421704737
70,0.9807810399316361
71,0.9815066972179509
72,0.9822248042665693
73,0.9829405751562303
74,0.9836596754295424
75,0.984389153040603
76,0.9851368127981248
77,0.9859072948367801
78,0.9867046573492102
79,0.9875334510295826
80,0.9883914728479528
81,0.9892742681932385
82,0.990175714500863
83,0.9910863953451992
84,0.9919922226631517
85,0.9928794244292682
86,0.9937308251160246
87,0.9945277212957777
88,0.9952563363599476
89,0.9959024431371041
90,0.9964451418703127
91,0.9968793320064324
92,0.9972004086350299
93,0.9974033860970837
94,0.9974826121454201
95,0.9974523042343627
96,0.9973208761563687
97,0.9970956525214527
98,0.9967936564159807
99,0.9964343527879518
100,0.9960340451493358
101,0.9956086901776803
102,0.9951774915843506
103,0.9947543624232885
104,0.994351844748458
105,0.9939815290023453
106,0.9936478307582056
107,0.9933538627314105
108,0.9931025370878981
109,0.9928904481598071
110,0.9927121760127064
111,0.9925625736146351
112,0.9924373019790665
113,0.9923279933688333
114,0.9922298029214751
115,0.9921391985084668
116,0.992054117480306
117,0.9919743789657584
118,0.9919019572607356
119,0.991841613557883
120,0.9917988337645245
121,0.9917794677557663
122,0.9917902295181698
123,0.9918409046227912
124,0.9919339951297894
125,0.9920731294346898
126,0.9922623147204556
127,0.9925014924322841
128,0.9927850617551031
129,0.9931079363887879
130,0.9934648450430019
131,0.9938436061445738
132,0.9942333391353061
133,0.9946228843527423
134,0.994998738486867
135,0.9953499199050023
136,0.9956663679522582
137,0.9959363506699113
138,0.996151472825248
139,0.9963080187614527
140,0.9964018573419877
141,0.9964246276336877
142,0.9963802477965271
143,0.9962696831718596
144,0.9960926339180891
145,0.9958487076376813
146,0.9955450399268467
147,0.9951844776613515
148,0.994767150964637
149,0.9942978761299872
150,0.9937815355850722
151,0.99322119506954
152,0.9926169936751776
153,0.9919762602178509
154,0.9913028751614835
155,0.9906005799336476
156,0.9898747752260457
157,0.9891328787140288
158,0.9883816322225274
159,0.9876295849874592
160,0.9868864271988517
161,0.9861614498046505
162,0.9854649392406644
163,0.9848121148155676
164,0.9842106282477894
165,0.9836706668111908
166,0.9832053297389449
167,0.9828253321045479
168,0.9825334143595669
169,0.9823345068997125
170,0.9822387801761949
171,0.9822405420744188
172,0.9823349618889312
173,0.9825176821513457
174,0.9827839712672407
175,0.9831156475513587
176,0.9834995888253651
177,0.9839219828351515
178,0.9843642113456196
179,0.9848086293701438
180,0.9852395554156287
181,0.9856381852280071
182,0.9859923014969733
183,0.9862916054263904
184,0.9865260325872516
185,0.9866859867734081
186,0.9867736837364092
187,0.9867890926683581
188,0.9867305775778515
189,0.9866046731430935
190,0.9864198052473574
191,0.9861826685501283
192,0.9858972976686052
193,0.9855755664286575
194,0.9852242707143656
195,0.9848489924685389
196,0.9844552040328918
197,0.9840483659920385
198,0.9836317910663678
199,0.9832079280456146
200,0.982779289404188
201,0.982347697012476
202,0.9819147403380603
203,0.9814824277092392
204,0.9810525849607342
205,0.9806272330481737
206,0.9802089875715555
207,0.9798006054789508
208,0.9794037182220549
209,0.9790201018520884
210,0.9786523634448817
211,0.9783002045668371
212,0.977962950226396
213,0.9776396877282313
214,0.9773291346360783
215,0.9770273705611529
216,0.9767314868851383
217,0.9764386701022204
218,0.9761460589789578
219,0.9758519697761976
220,0.9755561611660482
221,0.975260418571982
222,0.9749685688943706
223,0.974686278480809
224,0.974421769436844
225,0.9741873697459844
226,0.9739928355746281
227,0.9738500171138043
228,0.9737754780406668
229,0.9737812658781718
230,0.9738749751321666
231,0.9740648249561971
232,0.9743660603301704
233,0.974772295993942
234,0.9752819409547043
235,0.9758932545904417
236,0.9765997566722491
237,0.9773840366474172
