,small cell vs. small cell
0,0.9876880877725649
1,0.9883651426006745
2,0.9890962507306341
3,0.9898872201803971
4,0.9907179984172381
5,0.9915813860799383
6,0.9924742744365146
7,0.9933847390627626
8,0.9942958979530228
9,0.9951960857906457
10,0.9960739292861364
11,0.9969098632004497
12,0.9976890095725555
13,0.9983955459966004
14,0.9990082204579511
15,0.9995148892570394
16,0.999901823464668
17,1.0001483111086553
18,1.0002422074654984
19,1.0001795016983042
20,0.9999532321786213
21,0.9995427306303033
22,0.998960849206506
23,0.9982105223387896
24,0.997291676851663
25,0.996207198133138
26,0.9949801746886799
27,0.9936245609255274
28,0.9921502114708824
29,0.9905825187835818
30,0.9889458366408139
31,0.9872614503022888
32,0.9855508301226655
33,0.9838415587466303
34,0.9821547427460224
35,0.9805123129843113
36,0.9789363318053683
37,0.9774402461405242
38,0.9760368215738746
39,0.9747436077200248
40,0.9735637329688301
41,0.9724983235480285
42,0.9715494301357647
43,0.9707232894546569
44,0.9700066869551681
45,0.9693944966869676
46,0.9688849038547831
47,0.9684712628188805
48,0.9681430624943809
49,0.9678953286027963
50,0.9677298715371702
51,0.9676389882240177
52,0.9676203326324567
53,0.9676751278990402
54,0.9678083214127711
55,0.9680156274553346
56,0.9682980933588523
57,0.9686602876637389
58,0.9691005806504467
59,0.9696136308383068
60,0.9701956789416959
61,0.9708460825662952
62,0.9715513856384093
63,0.9723021778670072
64,0.9730891751981245
65,0.9739012692685285
66,0.9747255212714465
67,0.9755521715089801
68,0.9763717951991665
69,0.9771768401640111
70,0.9779630694276287
71,0.9787281120633561
72,0.9794701675201598
73,0.9801932865106957
74,0.9809011270300851
75,0.9815982338580262
76,0.9822904395064078
77,0.9829829786448145
78,0.9836796926330692
79,0.9843837508341496
80,0.9850949869446095
81,0.9858109173676728
82,0.9865270368276725
83,0.9872350919622944
84,0.9879254298517799
85,0.9885872397525414
86,0.9892063445390963
87,0.9897680233292847
88,0.9902624911341494
89,0.9906790945939407
90,0.9910013935599703
91,0.991227771486191
92,0.9913567200423663
93,0.9913866082043259
94,0.9913160652161432
95,0.9911600952599314
96,0.9909288643002423
97,0.990632508307456
98,0.9902886889448329
99,0.9899158813044483
100,0.9895301066323032
101,0.9891488514938163
102,0.9887876974585788
103,0.9884585987850998
104,0.9881725373215012
105,0.9879391510060843
106,0.9877586022633987
107,0.987631130496484
108,0.987557062847406
109,0.9875291590569352
110,0.987538568180418
111,0.9875771200477304
112,0.987636978570197
113,0.9877069205674079
114,0.9877795172183359
115,0.9878483947940454
116,0.9879086825363845
117,0.987958989419755
118,0.9879997055120777
119,0.9880329531882731
120,0.988063852455467
121,0.9880980633230547
122,0.9881417458971777
123,0.9882029801304257
124,0.9882862742626826
125,0.9883957479377956
126,0.9885353340035726
